Id,Name,ContinentId
1,United Arab Emirates,1
2,Afghanistan,1
3,Åland Islands,6
4,Albania,6
5,Algeria,2
6,American Samoa,7
7,Andorra,6
8,Angola,2
9,Anguilla,3
10,Antarctica,5
11,Antigua and Barbuda,3
12,Argentina,4
13,Armenia,1
14,Aruba,3
15,Australia,7
16,Austria,6
17,Azerbaijan,1
18,Bahamas,3
19,Bahrain,1
20,Bangladesh,1
21,Barbados,3
22,Belarus,6
23,Belgium,6
24,Belize,3
25,Benin,2
26,Bermuda,3
27,Bhutan,1
28,Bolivia,4
29,Bonaire,3
30,Sint Eustatius,3
31,Saba,3
32,Bosnia and Herzegovina,6
33,Botswana,2
34,Brazil,4
35,British Indian Ocean Territory,1
36,British Virgin Islands,3
37,Brunei Darussalam,1
38,Bulgaria,6
39,Burkina Faso,2
40,Burma,1
41,Burundi,2
42,Cabo Verde,2
43,Cambodia,1
44,Cameroon,2
45,Canada,3
46,Caribbean Netherlands,3
47,Cayman Islands,3
48,Central African Republic,2
49,Chad,2
50,Chile,4
51,China,1
52,Christmas Island,1
53,Cocos (Keeling) Islands,1
54,Colombia,4
55,Comoros,2
56,Democratic Republic of the Congo,2
57,Congo,2
58,Cook Islands,7
59,Costa Rica,3
60,Côte d'Ivoire,2
61,Croatia,6
62,Cuba,3
63,Curaçao,3
64,Cyprus,6
65,Czechia,6
66,Democratic People's Republic of Korea,1
67,Denmark,6
68,Djibouti,2
69,Dominica,3
70,Dominican Republic,3
71,Ecuador,4
72,Egypt,2
73,El Salvador,3
74,Equatorial Guinea,2
75,Eritrea,2
76,Estonia,6
77,Eswatini,2
78,Ethiopia,2
79,Falkland Islands,4
80,Faroe Islands,6
81,Fiji,7
82,Finland,6
83,France,6
84,French Guiana,4
85,French Polynesia,7
86,Gabon,2
87,Gambia,2
88,Georgia,1
89,Germany,6
90,Ghana,2
91,Gibraltar,6
92,Great Britain,6
93,Greece,6
94,Greenland,3
95,Grenada,3
96,Guadeloupe,3
97,Guatemala,3
98,Guernsey,6
99,Guinea,2
100,Guinea-Bissau,2
101,Guyana,4
102,Haiti,3
103,Honduras,3
104,Hong Kong,1
105,Hungary,6
106,Iceland,6
107,India,1
108,Indonesia,1
109,Iran,1
110,Iraq,1
111,Ireland,6
112,Isle of Man,6
113,Israel,1
114,Italy,6
115,Jamaica,3
116,Jan Mayen,6
117,Japan,1
118,Jersey,6
119,Jordan,1
120,Kazakhstan,1
121,Kenya,2
122,Kiribati,7
123,Republic of Korea,1
124,Kuwait,1
125,Kyrgyzstan,1
126,Lao People's Democratic Republic,1
127,Latvia,6
128,Lebanon,1
129,Lesotho,2
130,Liberia,2
131,Libya,2
132,Liechtenstein,6
133,Lithuania,6
134,Luxembourg,6
135,Macao,1
136,Madagascar,2
137,Malawi,2
138,Malaysia,1
139,Maldives,1
140,Mali,2
141,Malta,6
142,Marshall Islands,7
143,Martinique,3
144,Mauritania,2
145,Mauritius,2
146,Mayotte,2
147,Mexico,3
148,Micronesia,7
149,Moldova,6
150,Monaco,6
151,Mongolia,1
152,Montenegro,6
153,Montserrat,3
154,Morocco,2
155,Mozambique,2
156,Myanmar,1
157,Namibia,2
158,Nauru,7
159,Nepal,1
160,Netherlands,6
161,New Caledonia,7
162,New Zealand,7
163,Nicaragua,3
164,Niger,2
165,Nigeria,2
166,Niue,7
167,Norfolk Island,7
168,North Macedonia,6
169,Norway,6
170,Oman,1
171,Pakistan,1
172,Palau,7
173,Palestine,1
174,Panama,3
175,Papua New Guinea,7
176,Peru,4
177,Philippines,1
178,Poland,6
179,Portugal,6
180,Puerto Rico,3
181,Qatar,1
182,Sahrawi Arab Democratic Republic,2
183,Réunion,2
184,Romania,6
185,Russian Federation,6
186,Rwanda,2
187,Saint Barthélemy,3
188,Saint Helena,2
189,Saint Kitts and Nevis,3
190,Saint Lucia,3
191,Saint Martin (French part),3
192,Saint Pierre and Miquelon,3
193,Saint Vincent and the Grenadines,3
194,Samoa,7
195,San Marino,6
196,Sao Tome and Principe,2
197,Saudi Arabia,1
198,Senegal,2
199,Serbia,6
200,Seychelles,2
201,Sierra Leone,2
202,Singapore,1
203,Slovakia,6
204,Slovenia,6
205,Solomon Islands,7
206,Somalia,2
207,South Africa,2
208,South Georgia and the South Sandwich Islands,4
209,South Sudan,2
210,Spain,6
211,Sri Lanka,1
212,Sudan,2
213,Suriname,4
214,Svalbard,6
215,Sweden,6
216,Switzerland,6
217,Syrian Arab Republic,1
218,Taiwan,1
219,Tajikistan,1
220,Tanzania,2
221,Thailand,1
222,Timor-Leste,1
223,Togo,2
224,Tokelau,7
225,Tonga,7
226,Trinidad and Tobago,3
227,Tunisia,2
228,Türkiye,1
229,Turkmenistan,1
230,Turks and Caicos Islands,3
231,Tuvalu,7
232,Uganda,2
233,Ukraine,6
234,United States of America,3
235,United States Virgin Islands,3
236,Uruguay,4
237,Uzbekistan,1
238,Vanuatu,7
239,Vatican,6
240,Venezuela,4
241,Viet Nam,1
242,Wallis and Futuna,7
243,Yemen,1
244,Zambia,2
245,Zimbabwe,2
246,USSR,6
247,Russian Empire,6
248,Abkhazia,6
249,South Ossetia,6
250,Transnistria	,6
251,Somaliland,2
252,Paraguay,4
